77,690,Nicholas Gill,33838,1010,6,65,63,77,,205,
79,670,Zach Melton,38631,1008,7,64,70,72,,206,
79,670,Connor O'Reilly,99648,1014,7,62,68,76,,206,
79,670,Clay Edwards,91397,1012,7,60,70,76,,206,
82,640,Calvin Pettigrew,31818,993,8,61,74,72,,207,
82,640,Micah Groth,113179,1026,8,64,70,73,,207,
82,640,Fredy Meza,100497,1010,8,64,68,75,,207,
82,640,Nate Hecker,93475,1013,8,59,73,75,,207,
82,640,Thunder Schultz,56016,1000,8,63,66,78,,207,
87,590,Justin Rosak,98161,1000,9,57,75,76,,208,
87,590,Frank Smith,99092,987,9,64,67,77,,208,
89,570,Rich Klein III,40067,980,10,67,70,72,,209,
89,570,Silas Schultz,79047,1027,10,60,75,74,,209,
89,570,Bartosz Kowalewski,68737,993,10,62,71,76,,209,
92,540,Randy Dueck,139619,1007,11,62,72,76,,210,
92,540,George Beno,49225,990,11,64,68,78,,210,
92,540,Jaden Rye,153363,1006,11,56,76,78,,210,
95,510,Jake Lauber,44782,1008,12,62,76,73,,211,
95,510,Nolan Ramser,90461,999,12,63,71,77,,211,
97,490,Jonathan Borzick,119794,995,13,70,68,74,,212,
97,490,Gavin Phillips,119504,991,13,67,71,74,,212,
97,490,Jake Brown,140954,1005,13,64,71,77,,212,
97,490,Nathaniel Johnson,138355,995,13,62,71,79,,212,
97,490,Jake Wolff,144536,1003,13,60,70,82,,212,
102,440,Trevor Harbolt,26860,1000,14,65,70,78,,213,
103,430,Ian Burchett,60435,1003,15,67,70,77,,214,
104,420,Brent Hannu,128231,997,16,63,73,79,,215,
104,420,Kevin Kiefer III,97115,1017,16,57,77,81,,215,
104,420,Dallas Wrinkle,88370,982,16,60,72,83,,215,
104,420,AJ Carey,61770,1009,16,59,72,84,,215,
108,380,Tristan Tanner,99053,1017,17,68,67,81,,216,
108,380,Owen McCall,120343,998,17,63,72,81,,216,
110,360,Bhrahsten Waugh,45463,993,18,65,74,78,,217,
110,360,Adrian Chevalier,104894,997,18,69,69,79,,217,
112,340,Luke Bayne,166771,1002,19,63,79,76,,218,
112,340,Noah Fiveash,99153,981,19,65,75,78,,218,
112,340,Trevon Crowe,67172,1000,19,64,72,82,,218,
112,340,Benjamin Vansumeren,110035,981,19,63,69,86,,218,
116,300,Thomas Earhart,54106,996,21,69,71,80,,220,
116,300,Dan Schlitter,80219,1008,21,63,74,83,,220,
118,280,Joseph Anderson,122356,1029,22,58,76,87,,221,
119,270,Randon Latta,51685,1008,23,64,75,83,,222,
119,270,Edward Ward,62387,1007,23,63,76,83,,222,
121,250,Charlie Moore,78268,1000,24,69,73,81,,223,
121,250,Ryan Monn,144929,979,24,66,71,86,,223,
123,230,Elijah Bickel,94844,1008,25,65,77,82,,224,
124,220,Noah Meintsma,56555,1005,26,71,71,83,,225,
124,220,Brawley Sioux,163490,982,26,62,76,87,,225,
126,200,Jon Drummond,7350,987,29,60,81,87,,228,
127,190,Andrew Nilsen,55310,1006,31,66,77,87,,230,
128,180,Luke Sabulsky,109175,965,33,78,77,77,,232,
128,180,Nick Robertson,127048,988,33,70,76,86,,232,
128,180,Tyler Wozniak,92805,985,33,67,77,88,,232,
128,180,Ryan Stilson,50844,980,33,64,74,94,,232,
132,140,Blake Whitehead,145870,1006,34,68,70,95,,233,
133,130,Collin Thompson,107074,992,36,69,75,91,,235,
133,130,Ryan Mulder,111887,998,36,64,79,92,,235,
135,110,Nathan Welker,134758,960,37,67,80,89,,236,
136,0,Dawson Snelling,45739,1001,,69,67,999,,DNF,
136,0,Garry Patton,49643,998,,62,68,999,,DNF,
136,0,Corey Ellis,44512,1034,,59,69,999,,DNF,
136,0,Luke Callaghan,117680,973,,67,72,999,,DNF,
136,0,Joe Notch,106915,1005,,65,74,999,,DNF,
136,0,Lance Brown,58644,991,,63,75,999,,DNF,
136,0,Michael Clark,109591,976,,72,77,999,,DNF,
136,0,Josh Riley,97326,978,,63,78,999,,DNF,
136,0,Jacob Courtis,56511,1013,,59,81,999,,DNF,
145,0,Brandon Cawthorne,60069,995,,58,999,,,DNF,
