86,Gideon Drake,74465,1007,+6,68,65,68,201,,
86,Nicholas Gill,33838,1012,+6,65,68,68,201,,
86,Raven Newsom,88212,1027,+6,59,70,72,201,,
91,Eli Swansen,128050,1003,+7,66,70,66,202,,
91,Paul Ulibarri,27171,1032,+7,67,64,71,202,,
93,Kyle Krieckhaus,154511,1008,+8,71,65,67,203,,
94,Jakub Knápek,68237,1015,+9,67,71,66,204,,
94,Sam DiCarlo,115742,1007,+9,64,71,69,204,,
96,G.T. Hancock,49885,1019,+10,73,70,62,205,,
96,Jason Lawson,165807,1005,+10,73,69,63,205,,
96,Jonathan Fletcher,65940,1003,+10,65,71,69,205,,
99,Jeremy Koling,33705,1020,+12,67,77,63,207,,
100,Corbin Milchesky,153445,994,+15,70,68,72,210,,
100,Daniel Pfaff,98558,1010,+15,70,67,73,210,,
102,Ross Bates,116454,1000,+16,68,71,72,211,,
103,Levi Hancock,103050,1019,+19,72,76,66,214,,
103,Grady Shue,68285,1027,+19,72,71,71,214,,
105,Conor Dannis,99835,996,+22,74,74,69,217,,
105,Garrett Saunders,168883,963,+22,69,71,77,217,,
107,Nathan Queen,68286,1023,999,DNF,,,,,
