week,type,tournament_name,url,file
1,es,"Supreme Flight Open",https://www.pdga.com/tour/event/96401,1_supreme_flight.csv
2,es,"Big Easy Open",https://www.pdga.com/tour/event/96402,2_big_easy.csv
3,es,"Queen City Classic",https://www.pdga.com/tour/event/96403,3_queen_city.csv
4,es,"PDGA Champions Cup",https://www.pdga.com/tour/event/97336,4_pdga_champions_cup.csv
5,es,"Jonesboro Open",https://www.pdga.com/tour/event/96404,5_jonesboro.csv
6,es,"KC Wide Open",https://www.pdga.com/tour/event/96407,6_kc_wide.csv
7,es,"Waco",https://www.pdga.com/tour/event/102001,7_waco.csv
8,es,"Open at Austin",https://www.pdga.com/tour/event/96408,8_austin.csv
9,es,"OTB Open",https://www.pdga.com/tour/event/96409,9_otb.csv
10,es,"Cascade Challenge",https://www.pdga.com/tour/event/98193,10_cascade.csv
11,es,"NW DGC",https://www.pdga.com/tour/event/96410,11_nw_dgc.csv
12,es,"European Open",https://www.pdga.com/tour/event/97339,12_euro.csv
13,es,"Swedish Open",https://www.pdga.com/tour/event/96411,13_swedish.csv
14,es,"Ale Open",https://www.pdga.com/tour/event/96412,14_ale.csv
15,fes,"Heinola Open",https://www.pdga.com/tour/event/106208,15_heinola.csv
16,fes,"US Women's DGC",https://www.pdga.com/tour/event/97341,13_wdgc.csv
17,es,"Champion's Landing Open",https://www.pdga.com/tour/event/100195,14_champs.csv
18,es,"Ledgestone Open",https://www.pdga.com/tour/event/96414,18_ledge.csv
19,es,"Discmania Challenge",https://www.pdga.com/tour/event/96415,19_discmania.csv
20,es,"PDGA Pro Worlds",https://www.pdga.com/tour/event/97344,20_worlds.csv
21,es,"Idlewild Open",https://www.pdga.com/tour/event/96417,21_idlewild.csv
